Country Group Name,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2019,2020,2021,2022,2023,2024,2025,2026,Estimates Start After
Euro area,"Poultry (chicken), Whole bird spot price, Georgia docks, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices,"Index, 2016=100",,,,,,,,,,,
Euro area,"Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",U.S. dollars,Units,,,,,,,,,,
Euro area,"Shrimp, Frozen shell-on headless, block 16/20 count, Indian origin, C&F Japan, US$ per kilogram",U.S. dollars,Units,,,,,,,,,,
Euro area,"Commodity Sugar Index includes European, Free market, and U.S. Price Indices","Index, 2016=100",,,,,,,,,,,
Euro area,"Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,"Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,"Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Oranges, miscellaneous oranges French import price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Commodity Beverage Price Index includes Coffee, Tea, and Cocoa","Index, 2016=100",,,,,,,,,,,
Euro area,Commodity Coffee Price Index includes Other Mild Arabicas and Robusta,"Index, 2016=100",,,,,,,,,,,
Euro area,"Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,"Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,"Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Tea, Mombasa, Kenya, Auction Price, US cents per kilogram",U.S. cents,Units,,,,,,,,,,
Euro area,"Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices","Index, 2016=100",,,,,,,,,,,
Euro area,Commodity Timber Index includes Hardwood and Softwood Price Indices,"Index, 2016=100",,,,,,,,,,,
Euro area,Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices,"Index, 2016=100",,,,,,,,,,,
Euro area,"Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Euro area,"Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Euro area,Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices,"Index, 2016=100",,,,,,,,,,,
Euro area,"Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Euro area,"Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Euro area,"Cotton, Cotton Outlook `A Index`, Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,Commodity Wool Index includes Coarse and Fine Wool Price Indices,"Index, 2016=100",,,,,,,,,,,
Euro area,"Wool, fine, 19 micron, Australian Wool Exchange spot quote, US cents per kilogram",U.S. cents,Units,,,,,,,,,,
Euro area,"Wool, coarse, 23 micron, Australian Wool Exchange spot quote, US cents per kilogram",U.S. cents,Units,,,,,,,,,,
Euro area,"Rubber, No.1 Rubber Smoked Sheet, FOB Maylaysian/Singapore, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,"Hides, Heavy native steers, over 53 pounds, wholesale dealer`s price, US cents per pound",U.S. cents,Units,,,,,,,,,,
Euro area,"Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices","Index, 2016=100",,,,,,,,,,,
Euro area,"Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Iron Ore, China import Iron Ore Fines 62% FE spot (CFR Tianjin port) US$ per metric ton",U.S. dollars,Units,,,,,,,,,,
Euro area,"Tin, standard grade, LME spot price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Nickel, melting grade, LME spot price, CIF European ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Zinc, high grade 98% pure, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Euro area,"Uranium, u3o8 restricted price, Nuexco exchange spot, US$ per pound",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Gross domestic product, constant prices",Percent change,,,1.615,-4.901,5.258,4.702,1.955,1.488,1.413,1.404,
Major advanced economies (G7),"Gross domestic product, constant prices",Percent change (market exchange rates),,,,,,,,,,,
Major advanced economies (G7),"Gross domestic product, current prices",U.S. dollars,Billions,,"39,706.10","38,645.25","42,457.92","45,781.40","47,987.36","49,969.05","51,952.43","53,932.22",
Major advanced economies (G7),"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"42,657.50","41,034.18","44,739.44","48,130.21","50,238.45","52,147.86","54,032.74","55,926.07",
Major advanced economies (G7),"Gross domestic product, deflator","Index, 2000=100",,,121.676,123.63,126.808,129.57,131.822,134.201,136.62,139.059,
Major advanced economies (G7),"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"53,364.05","50,616.27","53,192.90","55,571.38","56,542.58","57,273.19","57,975.37","58,686.77",
Major advanced economies (G7),"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"55,616.28","53,388.24","58,127.81","62,398.39","64,999.60","67,340.16","69,646.51","71,962.06",
Major advanced economies (G7),Output gap,Percent of potential GDP,,,0.12,-3.479,-0.902,1.482,1.497,1.189,0.861,0.59,
Major advanced economies (G7),Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,31.618,31.091,30.932,30.885,30.4,29.857,29.32,28.796,
Major advanced economies (G7),Investment,Percent of GDP,,,21.909,21.485,21.831,22.649,22.56,22.456,22.373,22.323,
Major advanced economies (G7),Gross national savings,Percent of GDP,,,21.881,21.23,21.702,22.379,22.383,22.416,22.472,22.51,
Major advanced economies (G7),"Inflation, average consumer prices",Percent change,,,1.48,0.797,3.036,2.549,1.996,2.033,2.015,1.967,
Major advanced economies (G7),"Inflation, end of period consumer prices",Percent change,,,1.619,0.643,3.909,1.952,2.056,2.02,1.992,1.929,
Major advanced economies (G7),Three-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,
Major advanced economies (G7),Trade volume of goods and services,Percent change,,,,,,,,,,,
Major advanced economies (G7),Volume of imports of goods and services,Percent change,,,1.576,-10.482,10.568,8.419,3.708,2.754,2.496,2.579,
Major advanced economies (G7),Volume of imports of goods,Percent change,,,1.185,-7.474,12.298,7.887,3.322,2.453,2.291,2.36,
Major advanced economies (G7),Volume of exports of goods and services,Percent change,,,0.728,-12.944,7.469,7.66,3.931,3.27,2.995,2.837,
Major advanced economies (G7),Volume of exports of goods,Percent change,,,0.647,-10.76,9.564,7.054,3.541,3.252,3.079,2.949,
Major advanced economies (G7),Terms of trade of goods and services,Percent change,,,0.609,1.146,1.448,0.666,0.595,0.345,0.354,0.442,
Major advanced economies (G7),Terms of trade of goods,Percent change,,,0.51,1.665,1.874,0.743,0.887,0.309,0.313,0.376,
Major advanced economies (G7),Export price of manufactures,"U.S. dollars; index, 2000=100",,,,,,,,,,,
Major advanced economies (G7),Export price of manufactures,U.S. dollars; annual percent change,,,,,,,,,,,
Major advanced economies (G7),Unemployment rate,Percent of total labor force,,,4.296,6.492,5.372,4.473,4.127,4.071,4.085,4.166,
Major advanced economies (G7),Employment,"Index, 2000=100",,,110.649,106.874,108.542,111.298,n/a,n/a,n/a,n/a,
Major advanced economies (G7),General government revenue,Percent of GDP,,,35.564,35.955,36.094,36.817,36.998,36.86,36.777,36.825,
Major advanced economies (G7),General government total expenditure,Percent of GDP,,,39.337,48.187,46.061,42.258,41.112,40.55,40.42,40.452,
Major advanced economies (G7),General government net lending/borrowing,Percent of GDP,,,-3.773,-12.232,-9.967,-5.441,-4.114,-3.689,-3.644,-3.627,
Major advanced economies (G7),General government structural balance,Percent of potential GDP,,,-3.838,-8.277,-7.856,-6.015,-4.796,-4.224,-4.034,-3.921,
Major advanced economies (G7),General government primary net lending/borrowing,Percent of GDP,,,-2.063,-10.592,-8.632,-4.396,-3.056,-2.481,-2.263,-2.058,
Major advanced economies (G7),General government net debt,Percent of GDP,,,86.841,101.976,104.12,102.24,102.865,103.41,104.567,105.776,
Major advanced economies (G7),General government gross debt,Percent of GDP,,,118.034,140.185,139.018,135.653,135.795,135.793,135.794,135.8,
Major advanced economies (G7),Current account balance,U.S. dollars,Billions,,-73.062,-298.206,-395.888,-448.726,-408.838,-344.166,-272.721,-223.226,
Major advanced economies (G7),Current account balance,Percent of GDP,,,-0.184,-0.772,-0.932,-0.98,-0.852,-0.689,-0.525,-0.414,
Major advanced economies (G7),Imports of goods and services,U.S. dollars,Billions,,"8,599.23","7,613.19","9,122.99","10,225.97","10,722.78","11,191.00","11,649.33","12,112.84",
Major advanced economies (G7),Exports of goods and services,U.S. dollars,Billions,,"8,211.82","7,121.23","8,464.16","9,484.67","10,027.15","10,554.66","11,080.58","11,602.58",
Major advanced economies (G7),Financial account balance,U.S. dollars,Billions,,-137.893,-399.182,-380.308,-437.584,-386.152,-329.281,-245.608,-203.969,
Major advanced economies (G7),"Direct investment, net",U.S. dollars,Billions,,110.867,225.751,167.942,200.168,127.108,140.376,138.973,146.677,
Major advanced economies (G7),"Portfolio investment, net",U.S. dollars,Billions,,-117.424,-366.999,-491.508,-490.327,-518.612,-463.006,-338.477,-347.171,
Major advanced economies (G7),"Financial derivatives, net",U.S. dollars,Billions,,7.318,123.148,26.186,24.985,36.797,36.158,38.298,38.855,
Major advanced economies (G7),"Other investment, net",U.S. dollars,Billions,,-172.581,-405.991,-199.229,-202.04,-61.822,-74.072,-116.611,-75.498,
Major advanced economies (G7),Change in reserves,U.S. dollars,Billions,,33.922,24.91,116.3,29.63,30.377,31.263,32.209,33.169,
Major advanced economies (G7),"External debt, total",U.S. dollars,Billions,,,,,,,,,,
Major advanced economies (G7),"External debt, total",Percent of GDP,,,,,,,,,,,
Major advanced economies (G7),"External debt, total",Percent of exports of goods and services,,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service",U.S. dollars,Billions,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service",Percent of GDP,,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service",Percent of exports of goods and services,,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service, interest",U.S. dollars,Billions,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service, interest",Percent of GDP,,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service, interest",Percent of exports of goods and services,,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service, amortization",U.S. dollars,Billions,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service, amortization",Percent of GDP,,,,,,,,,,,
Major advanced economies (G7),"External debt, total debt service, amortization",Percent of exports of goods and services,,,,,,,,,,,
Major advanced economies (G7),Commodity Price Index includes both Fuel and Non-Fuel Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),Commodity Non-Fuel Price Index includes Food and Beverages and Industrial Inputs Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),Commodity Industrial Inputs Price Index includes Agricultural Raw Materials and Metals Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Crude Oil (petroleum), simple average of three spot prices; Dated Brent, West Texas Intermediate, and the Dubai Fateh, US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Oil; Dubai, medium, Fateh 32 API, fob Dubai Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Crude Oil (petroleum), West Texas Intermediate 40 API, Midland Texas, US$ per barrel",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Commodity Fuel (energy) Index includes Crude oil (petroleum), Natural Gas, and Coal Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Crude Oil (petroleum), Price index simple average of three spot prices (APSP); Dated Brent, West Texas Intermediate, and the Dubai Fateh","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Commodity Natural Gas Price Index includes European, Japanese, and American Natural Gas Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Natural Gas, Russian Natural Gas border price in Germany, US$ per million metric British thermal units of gas",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Natural Gas, Indonesian Liquified Natural Gas in Japan, US$ per million metric British thermal units of liquid",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Natural Gas, Natural Gas spot price at the Henry Hub terminal in Louisiana, US$ per million metric British thermal units of gas",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),Commodity Coal Price Index includes Australian and South African Coal,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Coal, Australian thermal coal, 1200- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Coal, South African export price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),Commodity Food and Beverage Price Index includes Food and Beverage Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Commodity Food Price Index includes Cereal, Vegetable Oils, Meat, Seafood, Sugar, Bananas, and Oranges Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Commodity Cereals Price Index includes Wheat, Maize (Corn), Rice, and Barley","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Wheat, No.1 Hard Red Winter, ordinary protein, FOB Gulf of Mexico, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Rice, 5 percent broken milled white rice, Thailand nominal price quote, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Barley, Canadian no.1 Western Barley, spot price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Commodity Vegetable Oil Index includes Soybean, Soybean Meal, Soybean Oil, Rapeseed Oil, Palm Oil, Sunflower Oil, Olive Oil, Fishmeal, and Groundnut Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Soybeans, U.S. soybeans, Chicago Soybean futures contract (first contract forward) No. 2 yellow and par, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Soybean Meal, Chicago Soybean Meal Futures (first contract forward) Minimum 48 percent protein, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Soybean Oil, Chicago Soybean Oil Futures (first contract forward) exchange approved grades, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Rapeseed oil, crude, FOB Rotterdam, US$ per metric ton",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Palm oil, Malaysia Palm Oil Futures (first contract forward) 4-5 percent FFA, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Sunflower Oil, US export price from Gulf of Mexico, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Olive Oil, extra virgin less than 1% free fatty acid, ex-tanker price U.K., US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Fishmeal, Peru Fish meal/pellets 65% protein, CIF, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Groundnuts (peanuts), 40/50 (40 to 50 count per ounce), cif Argentina, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Commodity Meat Price Index includes Beef, Lamb, Swine (pork), and Poultry Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Beef, Australian and New Zealand 85% lean fores, FOB U.S. import price, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Lamb, frozen carcass Smithfield London, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Swine (pork), 51-52% lean Hogs, U.S. price, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Poultry (chicken), Whole bird spot price, Georgia docks, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),Commodity Seafood Index includes Fish (salmon) and Shrimp Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Fish (salmon), Farm Bred Norwegian Salmon, export price, US$ per kilogram",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Shrimp, Frozen shell-on headless, block 16/20 count, Indian origin, C&F Japan, US$ per kilogram",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Commodity Sugar Index includes European, Free market, and U.S. Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Sugar, Free Market, Coffee Sugar and Cocoa Exchange (CSCE) contract no.11 nearest future position, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Sugar, U.S. import price, contract no.14 nearest futures position, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Bananas, Central American and Ecuador, FOB U.S. Ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Oranges, miscellaneous oranges French import price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Commodity Beverage Price Index includes Coffee, Tea, and Cocoa","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),Commodity Coffee Price Index includes Other Mild Arabicas and Robusta,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Tea, Mombasa, Kenya, Auction Price, US cents per kilogram",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Commodity Agricultural Raw Materials Index includes Timber, Cotton, Wool, Rubber, and Hides Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),Commodity Timber Index includes Hardwood and Softwood Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),Commodity Hardwood Price Index includes Hardwood Logs and Hardwood Sawn Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Hard Logs, Best quality Malaysian meranti, import price Japan, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Hard Sawnwood, Dark Red Meranti, select and better quality, C&F U.K port, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),Commodity Softwood Index includes Softwood Sawn and Softwood Logs Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Soft Logs, Average Export price from the U.S. for Douglas Fir, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Soft Sawnwood, average export price of Douglas Fir, U.S. Price, US$ per cubic meter",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Cotton, Cotton Outlook `A Index`, Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),Commodity Wool Index includes Coarse and Fine Wool Price Indices,"Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Wool, fine, 19 micron, Australian Wool Exchange spot quote, US cents per kilogram",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Wool, coarse, 23 micron, Australian Wool Exchange spot quote, US cents per kilogram",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Rubber, No.1 Rubber Smoked Sheet, FOB Maylaysian/Singapore, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Hides, Heavy native steers, over 53 pounds, wholesale dealer`s price, US cents per pound",U.S. cents,Units,,,,,,,,,,
Major advanced economies (G7),"Commodity Metals Price Index includes Copper, Aluminum, Iron Ore, Tin, Nickel, Zinc, Lead, and Uranium Price Indices","Index, 2016=100",,,,,,,,,,,
Major advanced economies (G7),"Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Aluminum, 99.5% minimum purity, LME spot price, CIF UK ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Iron Ore, China import Iron Ore Fines 62% FE spot (CFR Tianjin port) US$ per metric ton",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Tin, standard grade, LME spot price, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Nickel, melting grade, LME spot price, CIF European ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Zinc, high grade 98% pure, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Lead, 99.97% pure, LME spot price, CIF European Ports, US$ per metric tonne",U.S. dollars,Units,,,,,,,,,,
Major advanced economies (G7),"Uranium, u3o8 restricted price, Nuexco exchange spot, US$ per pound",U.S. dollars,Units,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, constant prices",Percent change,,,1.946,-1.917,4.634,3.705,2.853,2.532,2.314,2.296,
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, constant prices",Percent change (market exchange rates),,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, current prices",U.S. dollars,Billions,,"7,463.34","7,379.33","8,402.04","8,872.98","9,365.79","9,850.60","10,324.99","10,812.91",
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,,"9,170.16","9,070.74","9,830.79","10,469.88","11,020.84","11,555.92","12,079.78","12,612.97",
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product, deflator","Index, 2000=100",,,125.51,126.573,130.385,132.448,134.37,136.563,138.998,141.587,
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,,"50,811.96","49,521.92","51,607.62","53,294.49","54,550.71","55,655.23","56,676.47","57,715.44",
Other advanced economies (Advanced economies excluding G7 and euro area),"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,,"52,956.47","52,233.96","56,395.46","59,841.78","62,709.81","65,437.80","68,086.13","70,771.01",
Other advanced economies (Advanced economies excluding G7 and euro area),Output gap,Percent of potential GDP,,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,,6.797,6.873,6.797,6.719,6.669,6.616,6.555,6.494,
Other advanced economies (Advanced economies excluding G7 and euro area),Investment,Percent of GDP,,,25.27,25.582,25.748,25.856,25.936,25.923,25.957,25.949,
Other advanced economies (Advanced economies excluding G7 and euro area),Gross national savings,Percent of GDP,,,30.297,31.599,32.421,32.012,31.684,31.348,31.084,30.887,
Other advanced economies (Advanced economies excluding G7 and euro area),"Inflation, average consumer prices",Percent change,,,1.078,0.468,1.975,1.697,1.7,1.814,1.883,1.886,
Other advanced economies (Advanced economies excluding G7 and euro area),"Inflation, end of period consumer prices",Percent change,,,1.275,0.381,2.208,1.613,1.705,1.82,1.881,1.887,
Other advanced economies (Advanced economies excluding G7 and euro area),Three-month London interbank offered rate (LIBOR),Percent,,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),Trade volume of goods and services,Percent change,,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),Volume of imports of goods and services,Percent change,,,-0.83,-6.364,8.801,5.404,4.566,3.738,3.573,3.492,
Other advanced economies (Advanced economies excluding G7 and euro area),Volume of imports of goods,Percent change,,,-1.964,-1.434,10.396,4.669,3.864,3.556,3.544,3.467,
Other advanced economies (Advanced economies excluding G7 and euro area),Volume of exports of goods and services,Percent change,,,0.267,-4.695,8.168,4.824,3.946,3.249,2.891,2.997,
Other advanced economies (Advanced economies excluding G7 and euro area),Volume of exports of goods,Percent change,,,-0.454,-0.642,8.3,4.175,3.355,2.928,2.77,2.78,
Other advanced economies (Advanced economies excluding G7 and euro area),Terms of trade of goods and services,Percent change,,,-0.767,0.11,1.318,-0.398,0.016,0.084,0.209,0.201,
Other advanced economies (Advanced economies excluding G7 and euro area),Terms of trade of goods,Percent change,,,-0.85,0.126,2.534,-0.094,0.139,0.25,0.18,0.226,
Other advanced economies (Advanced economies excluding G7 and euro area),Export price of manufactures,"U.S. dollars; index, 2000=100",,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),Export price of manufactures,U.S. dollars; annual percent change,,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),Unemployment rate,Percent of total labor force,,,3.964,4.653,4.491,4.194,4.104,4.039,3.99,3.984,
Other advanced economies (Advanced economies excluding G7 and euro area),Employment,"Index, 2000=100",,,121.403,120.263,121.544,123.339,n/a,n/a,n/a,n/a,
Other advanced economies (Advanced economies excluding G7 and euro area),General government revenue,Percent of GDP,,,31.942,31.809,31.518,31.464,31.537,31.525,31.535,31.526,
Other advanced economies (Advanced economies excluding G7 and euro area),General government total expenditure,Percent of GDP,,,32.111,37.002,35.676,33.752,32.887,32.476,32.268,32.08,
Other advanced economies (Advanced economies excluding G7 and euro area),General government net lending/borrowing,Percent of GDP,,,-0.169,-5.193,-4.158,-2.288,-1.35,-0.951,-0.732,-0.554,
Other advanced economies (Advanced economies excluding G7 and euro area),General government structural balance,Percent of potential GDP,,,-1.312,-4.85,-4.276,-2.845,n/a,n/a,n/a,n/a,
Other advanced economies (Advanced economies excluding G7 and euro area),General government primary net lending/borrowing,Percent of GDP,,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),General government net debt,Percent of GDP,,,,,,,,,,,
Other advanced economies (Advanced economies excluding G7 and euro area),General government gross debt,Percent of GDP,,,43.354,49.886,51.045,52.359,52.837,52.855,52.684,52.282,
Other advanced economies (Advanced economies excluding G7 and euro area),Current account balance,U.S. dollars,Billions,,358.397,406.401,504,488.88,485.448,484.442,479.577,484.165,
Other advanced economies (Advanced economies excluding G7 and euro area),Current account balance,Percent of GDP,,,4.871,5.585,6.076,5.578,5.245,4.974,4.696,4.525,
Other advanced economies (Advanced economies excluding G7 and euro area),Imports of goods and services,U.S. dollars,Billions,,"3,744.39","3,428.52","4,098.53","4,384.51","4,612.88","4,837.57","5,065.76","5,296.89",
